Route_Point_ID;Aar1;Latitude.x;Longitude.x;Hoh_DEM
525_5;2007;61.77106724;9.944255501;1128
525_6;2007;61.77374563;9.943806924;1101
525_7;2007;61.77395801;9.949461549;1101
525_8;2007;61.77416105;9.955134921;1085
525_9;2007;61.77437296;9.960789696;1068
525_10;2007;61.7745845;9.966463497;1053
525_13;2007;61.76942103;9.973010039;1041
525_14;2007;61.76674268;9.973437072;1032
525_17;2007;61.76116549;9.968657102;1038
525_18;2007;61.76096301;9.962986039;1053
525_19;2007;61.76075118;9.957333711;1079
525_20;2007;61.76053913;9.951681459;1076
525_1;2008;61.76033594;9.946010617;1085
525_2;2008;61.76301435;9.94556234;1129
525_3;2008;61.76570159;9.945133207;1180
525_4;2008;61.76837999;9.944684781;1185
525_5;2008;61.77106724;9.944255501;1128
525_6;2008;61.77374563;9.943806924;1101
525_7;2008;61.77395801;9.949461549;1101
525_8;2008;61.77416105;9.955134921;1085
525_9;2008;61.77437296;9.960789696;1068
525_10;2008;61.7745845;9.966463497;1053
525_11;2008;61.77478697;9.972118141;1056
525_12;2008;61.77210849;9.972564269;1043
525_13;2008;61.76942103;9.973010039;1041
525_14;2008;61.76674268;9.973437072;1032
525_15;2008;61.76405521;9.973882692;1020
525_16;2008;61.76137685;9.974309579;1014
525_17;2008;61.76116549;9.968657102;1038
525_18;2008;61.76096301;9.962986039;1053
525_19;2008;61.76075118;9.957333711;1079
525_20;2008;61.76053913;9.951681459;1076
525_1;2009;61.76033594;9.946010617;1085
525_2;2009;61.76301435;9.94556234;1129
525_3;2009;61.76570159;9.945133207;1180
525_5;2009;61.77106724;9.944255501;1128
525_6;2009;61.77374563;9.943806924;1101
525_7;2009;61.77395801;9.949461549;1101
525_8;2009;61.77416105;9.955134921;1085
525_9;2009;61.77437296;9.960789696;1068
525_10;2009;61.7745845;9.966463497;1053
525_11;2009;61.77478697;9.972118141;1056
525_12;2009;61.77210849;9.972564269;1043
525_13;2009;61.76942103;9.973010039;1041
525_14;2009;61.76674268;9.973437072;1032
525_15;2009;61.76405521;9.973882692;1020
525_16;2009;61.76137685;9.974309579;1014
525_17;2009;61.76116549;9.968657102;1038
525_18;2009;61.76096301;9.962986039;1053
525_20;2009;61.76053913;9.951681459;1076
525_1;2010;61.76033594;9.946010617;1085
525_2;2010;61.76301435;9.94556234;1129
525_3;2010;61.76570159;9.945133207;1180
525_4;2010;61.76837999;9.944684781;1185
525_5;2010;61.77106724;9.944255501;1128
525_6;2010;61.77374563;9.943806924;1101
525_7;2010;61.77395801;9.949461549;1101
525_8;2010;61.77416105;9.955134921;1085
525_9;2010;61.77437296;9.960789696;1068
525_10;2010;61.7745845;9.966463497;1053
525_11;2010;61.77478697;9.972118141;1056
525_12;2010;61.77210849;9.972564269;1043
525_13;2010;61.76942103;9.973010039;1041
525_15;2010;61.76405521;9.973882692;1020
525_16;2010;61.76137685;9.974309579;1014
525_17;2010;61.76116549;9.968657102;1038
525_18;2010;61.76096301;9.962986039;1053
525_19;2010;61.76075118;9.957333711;1079
525_20;2010;61.76053913;9.951681459;1076
525_1;2011;61.76033594;9.946010617;1085
525_2;2011;61.76301435;9.94556234;1129
525_3;2011;61.76570159;9.945133207;1180
525_4;2011;61.76837999;9.944684781;1185
525_5;2011;61.77106724;9.944255501;1128
525_6;2011;61.77374563;9.943806924;1101
525_7;2011;61.77395801;9.949461549;1101
525_8;2011;61.77416105;9.955134921;1085
525_9;2011;61.77437296;9.960789696;1068
525_10;2011;61.7745845;9.966463497;1053
525_11;2011;61.77478697;9.972118141;1056
525_12;2011;61.77210849;9.972564269;1043
525_14;2011;61.76674268;9.973437072;1032
525_15;2011;61.76405521;9.973882692;1020
525_16;2011;61.76137685;9.974309579;1014
525_17;2011;61.76116549;9.968657102;1038
525_18;2011;61.76096301;9.962986039;1053
525_19;2011;61.76075118;9.957333711;1079
525_20;2011;61.76053913;9.951681459;1076
525_1;2012;61.76033594;9.946010617;1085
525_2;2012;61.76301435;9.94556234;1129
525_4;2012;61.76837999;9.944684781;1185
525_5;2012;61.77106724;9.944255501;1128
525_6;2012;61.77374563;9.943806924;1101
525_7;2012;61.77395801;9.949461549;1101
525_8;2012;61.77416105;9.955134921;1085
525_9;2012;61.77437296;9.960789696;1068
525_10;2012;61.7745845;9.966463497;1053
525_11;2012;61.77478697;9.972118141;1056
525_12;2012;61.77210849;9.972564269;1043
525_13;2012;61.76942103;9.973010039;1041
525_14;2012;61.76674268;9.973437072;1032
525_15;2012;61.76405521;9.973882692;1020
525_17;2012;61.76116549;9.968657102;1038
525_18;2012;61.76096301;9.962986039;1053
525_19;2012;61.76075118;9.957333711;1079
525_20;2012;61.76053913;9.951681459;1076
525_1;2013;61.76033594;9.946010617;1085
525_2;2013;61.76301435;9.94556234;1129
525_3;2013;61.76570159;9.945133207;1180
525_4;2013;61.76837999;9.944684781;1185
525_5;2013;61.77106724;9.944255501;1128
525_6;2013;61.77374563;9.943806924;1101
525_7;2013;61.77395801;9.949461549;1101
525_8;2013;61.77416105;9.955134921;1085
525_9;2013;61.77437296;9.960789696;1068
525_10;2013;61.7745845;9.966463497;1053
525_11;2013;61.77478697;9.972118141;1056
525_12;2013;61.77210849;9.972564269;1043
525_14;2013;61.76674268;9.973437072;1032
525_15;2013;61.76405521;9.973882692;1020
525_18;2013;61.76096301;9.962986039;1053
525_19;2013;61.76075118;9.957333711;1079
525_20;2013;61.76053913;9.951681459;1076
525_1;2014;61.76033594;9.946010617;1085
525_2;2014;61.76301435;9.94556234;1129
525_3;2014;61.76570159;9.945133207;1180
525_4;2014;61.76837999;9.944684781;1185
525_5;2014;61.77106724;9.944255501;1128
525_6;2014;61.77374563;9.943806924;1101
525_7;2014;61.77395801;9.949461549;1101
525_8;2014;61.77416105;9.955134921;1085
525_9;2014;61.77437296;9.960789696;1068
525_10;2014;61.7745845;9.966463497;1053
525_11;2014;61.77478697;9.972118141;1056
525_12;2014;61.77210849;9.972564269;1043
525_13;2014;61.76942103;9.973010039;1041
525_14;2014;61.76674268;9.973437072;1032
525_15;2014;61.76405521;9.973882692;1020
525_16;2014;61.76137685;9.974309579;1014
525_17;2014;61.76116549;9.968657102;1038
525_18;2014;61.76096301;9.962986039;1053
525_19;2014;61.76075118;9.957333711;1079
525_20;2014;61.76053913;9.951681459;1076
525_1;2015;61.76033594;9.946010617;1085
525_2;2015;61.76301435;9.94556234;1129
525_3;2015;61.76570159;9.945133207;1180
525_4;2015;61.76837999;9.944684781;1185
525_5;2015;61.77106724;9.944255501;1128
525_6;2015;61.77374563;9.943806924;1101
525_7;2015;61.77395801;9.949461549;1101
525_8;2015;61.77416105;9.955134921;1085
525_9;2015;61.77437296;9.960789696;1068
525_10;2015;61.7745845;9.966463497;1053
525_11;2015;61.77478697;9.972118141;1056
525_12;2015;61.77210849;9.972564269;1043
525_13;2015;61.76942103;9.973010039;1041
525_14;2015;61.76674268;9.973437072;1032
525_15;2015;61.76405521;9.973882692;1020
525_17;2015;61.76116549;9.968657102;1038
525_18;2015;61.76096301;9.962986039;1053
525_19;2015;61.76075118;9.957333711;1079
525_20;2015;61.76053913;9.951681459;1076
525_1;2016;61.76033594;9.946010617;1085
525_2;2016;61.76301435;9.94556234;1129
525_3;2016;61.76570159;9.945133207;1180
525_4;2016;61.76837999;9.944684781;1185
525_5;2016;61.77106724;9.944255501;1128
525_6;2016;61.77374563;9.943806924;1101
525_7;2016;61.77395801;9.949461549;1101
525_8;2016;61.77416105;9.955134921;1085
525_9;2016;61.77437296;9.960789696;1068
525_10;2016;61.7745845;9.966463497;1053
525_11;2016;61.77478697;9.972118141;1056
525_12;2016;61.77210849;9.972564269;1043
525_13;2016;61.76942103;9.973010039;1041
525_14;2016;61.76674268;9.973437072;1032
525_16;2016;61.76137685;9.974309579;1014
525_17;2016;61.76116549;9.968657102;1038
525_18;2016;61.76096301;9.962986039;1053
525_19;2016;61.76075118;9.957333711;1079
525_1;2017;61.76033594;9.946010617;1085
525_2;2017;61.76301435;9.94556234;1129
525_3;2017;61.76570159;9.945133207;1180
525_4;2017;61.76837999;9.944684781;1185
