Id;Aar;RuteNr;PktNr;FK_Vegetasjonstype1;Dekningsgrad1;;;;;;;
3732;2005;1626;1;12;100;;;;;;;
3733;2005;1626;2;12;70;;;;;;;
3734;2005;1626;3;3;100;;;;;;;
3735;2005;1626;4;11;50;;;;;;;
3736;2005;1626;5;4;100;;;;;;;
3737;2005;1626;6;3;100;;;;;;;
3738;2005;1626;7;13;100;;;;;;;
3739;2005;1626;8;12;100;;;;;;;
3740;2005;1626;9;12;100;;;;;;;
3741;2005;1626;10;4;60;;;;;;;
3742;2005;1626;11;4;100;;;;;;;
3743;2005;1626;12;12;100;;;;;;;
3744;2005;1626;13;3;100;;;;;;;
3745;2005;1626;14;13;100;;;;;;;
3746;2005;1626;15;10;100;;;;;;;
3747;2005;1626;16;4;100;;;;;;;
3748;2005;1626;17;3;100;;;;;;;
3749;2005;1626;18;3;100;;;;;;;
3750;2005;1626;19;4;60;;;;;;;
3751;2005;1626;20;4;100;;;;;;;
3752;2005;1627;2;15;100;;;;;;;
3753;2005;1627;3;18;60;;;;;;;
3754;2005;1627;4;4;95;;;;;;;
3755;2005;1627;5;29;50;;;;;;;
3756;2005;1627;6;29;50;;;;;;;
3757;2005;1627;7;12;90;;;;;;;
3758;2005;1627;8;3;50;;;;;;;
3759;2005;1627;9;5;90;;;;;;;
3760;2005;1627;10;5;100;;;;;;;
3761;2005;1627;12;8;100;;;;;;;
3762;2005;1627;13;3;50;;;;;;;
3763;2005;1627;14;4;80;;;;;;;
3764;2005;1627;15;4;100;;;;;;;
3765;2005;1627;16;4;100;;;;;;;
3766;2005;1627;17;3;100;;;;;;;
3767;2005;1627;18;6;90;;;;;;;
3768;2005;1627;19;8;100;;;;;;;
3769;2005;1628;1;8;75;;;;;;;
3770;2005;1628;2;1;100;;;;;;;
3771;2005;1628;3;10;75;;;;;;;
3772;2005;1628;4;10;50;;;;;;;
3773;2005;1628;5;8;100;;;;;;;
3774;2005;1628;6;8;100;;;;;;;
3775;2005;1628;7;13;50;;;;;;;
3776;2005;1628;8;2;90;;;;;;;
3777;2005;1628;9;1;50;;;;;;;
3778;2005;1628;10;10;50;;;;;;;
3779;2005;1628;11;4;70;;;;;;;
3780;2005;1628;12;1;100;;;;;;;
3781;2005;1628;13;2;60;;;;;;;
3782;2005;1628;14;15;50;;;;;;;
3783;2005;1628;15;6;100;;;;;;;
3784;2005;1628;16;18;60;;;;;;;
3785;2005;1628;17;2;100;;;;;;;
3786;2005;1628;18;11;100;;;;;;;
3787;2005;1628;19;17;100;;;;;;;
3788;2005;1628;20;6;90;;;;;;;
3789;2005;1629;1;15;100;;;;;;;
3790;2005;1629;2;16;50;;;;;;;
3791;2005;1629;3;16;100;;;;;;;
3792;2005;1629;4;15;60;;;;;;;
3793;2005;1629;5;15;90;;;;;;;
3794;2005;1629;6;18;90;;;;;;;
3795;2005;1629;7;31;60;;;;;;;
3796;2005;1629;8;16;100;;;;;;;
3797;2005;1629;9;6;100;;;;;;;
3798;2005;1629;10;16;45;;;;;;;
3799;2005;1629;11;16;100;;;;;;;
3800;2005;1629;12;15;100;;;;;;;
3801;2005;1629;13;16;95;;;;;;;
3802;2005;1629;14;16;50;;;;;;;
3803;2005;1629;15;18;80;;;;;;;
3804;2005;1629;16;16;50;;;;;;;
3805;2005;1629;17;18;50;;;;;;;
3806;2005;1629;18;16;45;;;;;;;
3807;2005;1629;19;18;40;;;;;;;
3808;2005;1629;20;16;50;;;;;;;
3809;2005;1630;1;6;75;;;;;;;
3810;2005;1630;2;16;100;;;;;;;
3811;2005;1630;3;15;90;;;;;;;
3812;2005;1630;4;7;50;;;;;;;
3813;2005;1630;5;5;50;;;;;;;
3814;2005;1630;8;29;50;;;;;;;
3815;2005;1630;9;29;50;;;;;;;
3816;2005;1630;10;3;100;;;;;;;
3817;2005;1630;13;7;100;;;;;;;
3818;2005;1630;14;4;60;;;;;;;
3819;2005;1630;15;4;50;;;;;;;
3820;2005;1630;16;8;100;;;;;;;
3821;2005;1630;17;4;100;;;;;;;
3822;2005;1630;18;6;100;;;;;;;
3823;2005;1630;19;15;50;;;;;;;
3824;2005;1630;20;15;50;;;;;;;
3825;2005;1701;1;2;90;;;;;;;
3826;2005;1701;2;2;60;;;;;;;
3827;2005;1701;3;13;40;;;;;;;
3828;2005;1701;4;2;90;;;;;;;
3829;2005;1701;5;2;100;;;;;;;
3830;2005;1701;6;11;40;;;;;;;
3831;2005;1701;7;8;100;;;;;;;
3832;2005;1701;8;13;50;;;;;;;
3833;2005;1701;9;4;60;;;;;;;
3834;2005;1701;10;13;90;;;;;;;
3835;2005;1701;11;8;100;;;;;;;
3836;2005;1701;12;8;100;;;;;;;
3837;2005;1701;13;13;95;;;;;;;
3838;2005;1701;14;13;75;;;;;;;
3839;2005;1701;15;8;100;;;;;;;
3840;2005;1701;16;13;80;;;;;;;
3841;2005;1701;17;13;50;;;;;;;
3842;2005;1701;18;13;80;;;;;;;
3843;2005;1701;19;10;50;;;;;;;
3844;2005;1701;20;13;50;;;;;;;
3845;2005;1702;1;11;90;;;;;;;
3846;2005;1702;2;8;85;;;;;;;
3847;2005;1702;3;13;100;;;;;;;
3848;2005;1702;4;13;100;;;;;;;
3849;2005;1702;5;13;95;;;;;;;
3850;2005;1702;6;8;60;;;;;;;
3851;2005;1702;7;8;50;;;;;;;
3852;2005;1702;8;13;80;;;;;;;
3853;2005;1702;9;8;80;;;;;;;
3854;2005;1702;10;13;80;;;;;;;
3855;2005;1702;11;13;50;;;;;;;
3856;2005;1702;12;8;100;;;;;;;
3857;2005;1702;13;11;60;;;;;;;
3858;2005;1702;14;2;90;;;;;;;
3859;2005;1702;15;11;80;;;;;;;
3860;2005;1702;16;8;100;;;;;;;
3861;2005;1702;17;11;50;;;;;;;
3862;2005;1702;18;11;60;;;;;;;
3863;2005;1702;19;1;45;;;;;;;
3864;2005;1702;20;1;100;;;;;;;
3865;2005;1703;1;22;100;;;;;;;
3866;2005;1703;2;22;80;;;;;;;
3867;2005;1703;3;9;90;;;;;;;
3868;2005;1703;4;10;50;;;;;;;
3869;2005;1703;5;9;40;;;;;;;
3870;2005;1703;6;8;100;;;;;;;
